,home_rank,home_weighted_points,away_rank,away_weighted_points,rank_diff,point_diff,tournament,neutral,home_team,away_team
Iraq,79.0,183.25,86.33333333333333,242.39000000000001,-7.333333333333329,-59.140000000000015,1,0,151,66
Mauritania,154.66666666666666,54.19833333333333,104.16666666666667,142.08166666666668,50.499999999999986,-87.88333333333335,1,0,132,92
Syria,101.16666666666667,135.38333333333333,75.0,232.32833333333335,26.16666666666667,-96.94500000000002,1,0,115,138
Solomon Islands,156.16666666666666,48.875,150.33333333333334,117.98,5.833333333333314,-69.105,1,1,139,129
Nigeria,16.833333333333332,477.5566666666667,49.5,280.28333333333336,-32.66666666666667,197.2733333333333,0,1,32,104
Egypt,168.66666666666666,0.0,42.333333333333336,273.91833333333335,126.33333333333331,-273.91833333333335,1,0,25,38
Panama,16.0,494.0733333333333,54.0,306.59333333333336,-38.0,187.47999999999996,1,0,93,109
Portugal,94.5,127.30499999999999,3.5,708.9733333333334,91.0,-581.6683333333334,1,0,45,115
Austria,19.833333333333332,376.8283333333333,27.333333333333332,430.10999999999996,-7.5,-53.28166666666664,1,0,156,8
Burkina Faso,26.833333333333332,401.705,52.666666666666664,252.12166666666664,-25.833333333333332,149.58333333333334,1,0,122,19
United Arab Emirates,86.33333333333333,242.39000000000001,79.0,183.25,7.333333333333329,59.140000000000015,1,1,64,150
Liechtenstein,57.833333333333336,243.60333333333332,181.16666666666666,42.68500000000001,-123.33333333333331,200.91833333333332,1,0,1,83
Peru,8.0,521.5266666666665,11.0,616.1850000000001,-3.0,-94.65833333333353,0,1,48,112
Spain,181.16666666666666,42.68500000000001,7.333333333333333,608.915,173.83333333333331,-566.2299999999999,1,0,82,133
Congo,51.0,263.55833333333334,89.0,148.03833333333336,-38.0,115.51999999999998,1,0,53,29
Fiji,124.5,101.87,166.83333333333334,58.02166666666667,-42.33333333333334,43.848333333333336,1,0,101,46
Sweden,16.833333333333332,440.00500000000005,21.0,578.8333333333334,-4.166666666666668,-138.82833333333332,1,0,66,136
Solomon Islands,124.5,101.87,150.33333333333334,117.98,-25.833333333333343,-16.11,1,0,101,129
USA,134.66666666666666,0.0,24.5,488.3666666666666,110.16666666666666,-488.3666666666666,1,0,56,147
Panama,14.333333333333334,479.66833333333335,54.0,306.59333333333336,-39.666666666666664,173.075,0,1,40,109
Albania,7.333333333333333,608.915,57.833333333333336,243.60333333333332,-50.5,365.3116666666666,1,0,133,1
Ukraine,16.833333333333332,477.5566666666667,33.333333333333336,405.47333333333336,-16.500000000000004,72.08333333333331,1,0,32,149
Mozambique,91.66666666666667,173.07000000000002,107.66666666666667,136.225,-16.0,36.84500000000003,1,0,49,98
Iceland,49.5,280.28333333333336,20.333333333333332,519.1433333333333,29.166666666666668,-238.85999999999996,0,1,103,64
Trinidad and Tobago,54.0,306.59333333333336,85.66666666666667,173.22166666666666,-31.66666666666667,133.3716666666667,1,0,108,143
Malaysia,83.16666666666667,263.06,173.33333333333334,25.450000000000003,-90.16666666666667,237.61,1,1,107,88
Ecuador,14.5,367.13333333333327,64.5,58.74999999999999,-50.0,308.38333333333327,1,0,27,37
Jamaica,25.166666666666668,395.195,51.333333333333336,367.03999999999996,-26.166666666666668,28.15500000000003,1,0,31,69
Korea DPR,82.0,129.1316666666667,114.66666666666667,124.46,-32.66666666666667,4.671666666666695,1,0,153,74
Latvia,3.5,708.9733333333334,133.5,78.05166666666666,-130.0,630.9216666666667,1,0,114,78
Poland,44.166666666666664,395.24,8.0,569.9300000000001,36.166666666666664,-174.69000000000005,1,0,95,114
Chad,42.333333333333336,273.91833333333335,168.66666666666666,0.0,-126.33333333333331,273.91833333333335,1,0,38,25
Malaysia,83.16666666666667,263.06,173.33333333333334,25.450000000000003,-90.16666666666667,237.61,1,1,107,88
Mexico,84.66666666666667,250.72500000000002,16.0,494.0733333333333,68.66666666666667,-243.3483333333333,1,0,39,94
Finland,38.166666666666664,290.03666666666663,65.0,346.72499999999997,-26.833333333333336,-56.68833333333333,1,0,146,47
Afghanistan,75.0,232.32833333333335,145.16666666666666,104.065,-70.16666666666666,128.26333333333335,1,1,138,0
Argentina,14.5,367.13333333333327,4.5,462.20166666666665,10.0,-95.06833333333338,1,0,27,5
Lithuania,184.83333333333334,27.378333333333334,138.83333333333334,40.94833333333333,46.0,-13.569999999999997,1,0,90,84
Germany,53.5,378.68666666666667,1.0,822.7366666666667,52.5,-444.05,1,0,105,52
Sudan,76.16666666666667,240.4316666666667,123.16666666666667,160.32166666666666,-47.0,80.11000000000004,1,0,158,134
Uruguay,11.0,616.1850000000001,19.0,395.4550000000001,-8.0,220.72999999999996,1,0,111,151
Czech Republic,120.16666666666667,81.07333333333334,45.5,306.84833333333336,74.66666666666667,-225.77500000000003,1,0,9,34
Italy,181.16666666666666,42.68500000000001,16.833333333333332,440.00500000000005,164.33333333333331,-397.32000000000005,1,0,82,68
Turkey,162.66666666666666,74.70666666666666,38.166666666666664,290.03666666666663,124.5,-215.32999999999998,1,1,74,145
Kazakhstan,44.166666666666664,395.24,126.66666666666667,73.19,-82.5,322.05,1,0,95,72
Switzerland,50.5,193.13,7.0,613.3216666666666,43.5,-420.1916666666666,1,0,61,137
Chile,19.0,395.4550000000001,9.5,442.0466666666666,9.5,-46.59166666666653,1,0,152,26
Algeria,49.5,256.27833333333336,61.5,212.29999999999998,-12.0,43.97833333333338,1,0,23,2
Trinidad and Tobago,62.666666666666664,284.3066666666667,85.66666666666667,173.22166666666666,-23.000000000000007,111.08500000000001,1,0,60,143
Australia,57.833333333333336,220.96666666666667,37.5,394.7683333333334,20.333333333333336,-173.8016666666667,1,0,68,7
Albania,181.16666666666666,42.68500000000001,57.833333333333336,243.60333333333332,123.33333333333331,-200.91833333333332,1,0,82,1
Slovenia,28.5,358.18666666666667,62.5,238.87666666666667,-34.0,119.31,1,0,127,128
Belarus,19.666666666666668,527.0783333333334,85.83333333333333,160.80666666666664,-66.16666666666666,366.27166666666676,1,0,99,12
Morocco,3.5,708.9733333333334,41.333333333333336,380.00333333333333,-37.833333333333336,328.97,0,1,114,97
Iraq,37.5,394.7683333333334,86.33333333333333,242.39000000000001,-48.83333333333333,152.37833333333336,1,0,7,66
Ghana,89.0,148.03833333333336,51.0,263.55833333333334,38.0,-115.51999999999998,1,0,29,53
Moldova,19.833333333333332,376.8283333333333,170.5,44.43333333333334,-150.66666666666666,332.395,1,0,156,95
Albania,16.833333333333332,440.00500000000005,57.833333333333336,243.60333333333332,-41.0,196.40166666666673,1,0,66,1
Peru,14.5,367.13333333333327,11.0,616.1850000000001,3.5,-249.0516666666668,1,0,27,112
Saudi Arabia,79.0,183.25,67.0,174.54,12.0,8.710000000000008,1,0,151,120
Guinea,39.166666666666664,340.10166666666663,68.83333333333333,229.67499999999998,-29.666666666666664,110.42666666666665,1,0,30,58
India,93.83333333333333,228.235,99.0,202.94500000000002,-5.166666666666671,25.289999999999992,1,0,106,65
Venezuela,4.5,462.20166666666665,43.166666666666664,410.935,-38.666666666666664,51.26666666666665,1,0,5,153
Bhutan,149.16666666666666,74.63,185.83333333333334,0.0,-36.666666666666686,74.63,1,0,88,14
Northern Ireland,1.0,822.7366666666667,26.333333333333332,421.1116666666667,-25.333333333333332,401.625,1,0,52,105
Slovenia,138.83333333333334,40.94833333333333,62.5,238.87666666666667,76.33333333333334,-197.92833333333334,1,0,83,128
Malta,34.166666666666664,493.81333333333333,184.83333333333334,27.378333333333334,-150.66666666666669,466.435,1,0,121,91
Equatorial Guinea,41.333333333333336,380.00333333333333,141.5,24.791666666666668,-100.16666666666666,355.21166666666664,1,0,96,41
Liechtenstein,7.333333333333333,608.915,181.16666666666666,42.68500000000001,-173.83333333333331,566.2299999999999,1,0,133,83
Korea Republic,169.33333333333334,45.81166666666667,59.166666666666664,183.17666666666665,110.16666666666669,-137.36499999999998,1,0,75,75
Kazakhstan,8.0,569.9300000000001,126.66666666666667,73.19,-118.66666666666667,496.74000000000007,1,0,113,72
