,tournament,neutral,home_rank,home_weighted_points,home_team,away_rank,away_weighted_points,away_team,won,rank_diff,point_diff
Afghanistan,FIFA World Cup qualification,False,57.833333333333336,220.96666666666667,Japan,145.16666666666666,104.065,Afghanistan,1,-87.33333333333331,116.90166666666667
Afghanistan,FIFA World Cup qualification,False,171.66666666666666,31.26,Singapore,145.16666666666666,104.065,Afghanistan,1,26.5,-72.80499999999999
Afghanistan,FIFA World Cup qualification,False,75.0,232.32833333333335,Syria,145.16666666666666,104.065,Afghanistan,1,-70.16666666666666,128.26333333333335
Albania,FIFA World Cup qualification,False,94.66666666666667,166.66833333333332,Armenia,57.833333333333336,243.60333333333332,Albania,1,36.833333333333336,-76.935
Albania,FIFA World Cup qualification,False,12.0,754.7800000000001,Denmark,57.833333333333336,243.60333333333332,Albania,1,-45.833333333333336,511.17666666666673
Albania,FIFA World Cup qualification,False,14.333333333333334,479.66833333333335,England,57.833333333333336,243.60333333333332,Albania,1,-43.5,236.06500000000003
Albania,FIFA World Cup qualification,False,14.333333333333334,479.66833333333335,England,57.833333333333336,243.60333333333332,Albania,1,-43.5,236.06500000000003
Albania,FIFA World Cup qualification,False,65.0,346.72499999999997,Finland,57.833333333333336,243.60333333333332,Albania,1,7.166666666666664,103.12166666666664
Albania,FIFA World Cup qualification,False,98.66666666666667,203.5683333333333,Georgia,57.833333333333336,243.60333333333332,Albania,1,40.833333333333336,-40.035000000000025
Albania,FIFA World Cup qualification,False,1.0,822.7366666666667,Germany,57.833333333333336,243.60333333333332,Albania,1,-56.833333333333336,579.1333333333333
Albania,FIFA World Cup qualification,False,44.833333333333336,339.45666666666665,Greece,57.833333333333336,243.60333333333332,Albania,1,-13.0,95.85333333333332
Albania,FIFA World Cup qualification,False,44.833333333333336,339.45666666666665,Greece,57.833333333333336,243.60333333333332,Albania,1,-13.0,95.85333333333332
Albania,FIFA World Cup qualification,False,16.833333333333332,440.00500000000005,Italy,57.833333333333336,243.60333333333332,Albania,1,-41.0,196.40166666666673
Albania,FIFA World Cup qualification,False,19.666666666666668,527.0783333333334,Netherlands,57.833333333333336,243.60333333333332,Albania,1,-38.16666666666667,283.475
Albania,FIFA World Cup qualification,False,26.333333333333332,421.1116666666667,Northern Ireland,57.833333333333336,243.60333333333332,Albania,1,-31.500000000000004,177.50833333333335
Albania,FIFA World Cup qualification,False,26.333333333333332,421.1116666666667,Northern Ireland,57.833333333333336,243.60333333333332,Albania,1,-31.500000000000004,177.50833333333335
Albania,FIFA World Cup qualification,False,3.5,708.9733333333334,Portugal,57.833333333333336,243.60333333333332,Albania,1,-54.333333333333336,465.37
Albania,FIFA World Cup qualification,False,34.333333333333336,384.19,Romania,57.833333333333336,243.60333333333332,Albania,1,-23.5,140.58666666666667
Albania,FIFA World Cup qualification,False,62.5,238.87666666666667,Slovenia,57.833333333333336,243.60333333333332,Albania,1,4.666666666666664,-4.7266666666666595
Albania,FIFA World Cup qualification,False,7.333333333333333,608.915,Spain,57.833333333333336,243.60333333333332,Albania,1,-50.5,365.3116666666666
Albania,FIFA World Cup qualification,False,7.333333333333333,608.915,Spain,57.833333333333336,243.60333333333332,Albania,1,-50.5,365.3116666666666
Albania,FIFA World Cup qualification,False,21.0,578.8333333333334,Sweden,57.833333333333336,243.60333333333332,Albania,1,-36.833333333333336,335.23
Albania,FIFA World Cup qualification,False,38.166666666666664,290.03666666666663,Turkey,57.833333333333336,243.60333333333332,Albania,1,-19.66666666666667,46.43333333333331
Algeria,FIFA World Cup qualification,False,139.5,115.98,Angola,61.5,212.29999999999998,Algeria,1,78.0,-96.31999999999998
Algeria,FIFA World Cup,True,2.0,638.3583333333332,Brazil,61.5,212.29999999999998,Algeria,1,-59.5,426.0583333333333
Algeria,FIFA World Cup qualification,False,49.5,256.27833333333336,Cameroon,61.5,212.29999999999998,Algeria,1,-12.0,43.97833333333338
Algeria,FIFA World Cup,True,1.0,822.7366666666667,Germany,61.5,212.29999999999998,Algeria,1,-60.5,610.4366666666667
Algeria,FIFA World Cup qualification,False,41.333333333333336,380.00333333333333,Morocco,61.5,212.29999999999998,Algeria,1,-20.166666666666664,167.70333333333335
Algeria,FIFA World Cup qualification,False,107.83333333333333,183.29333333333332,Niger,61.5,212.29999999999998,Algeria,1,46.33333333333333,-29.00666666666666
Algeria,FIFA World Cup qualification,False,49.5,280.28333333333336,Nigeria,61.5,212.29999999999998,Algeria,1,-12.0,67.98333333333338
Algeria,FIFA World Cup qualification,False,49.5,280.28333333333336,Nigeria,61.5,212.29999999999998,Algeria,1,-12.0,67.98333333333338
Algeria,FIFA World Cup qualification,False,26.833333333333332,401.705,Senegal,61.5,212.29999999999998,Algeria,1,-34.66666666666667,189.405
Algeria,FIFA World Cup qualification,False,26.833333333333332,401.705,Senegal,61.5,212.29999999999998,Algeria,1,-34.66666666666667,189.405
Algeria,FIFA World Cup qualification,False,19.666666666666668,580.4266666666666,Tunisia,61.5,212.29999999999998,Algeria,1,-41.83333333333333,368.12666666666667
Algeria,FIFA World Cup,True,24.5,488.3666666666666,USA,61.5,212.29999999999998,Algeria,1,-37.0,276.0666666666666
American Samoa,FIFA World Cup qualification,True,166.83333333333334,58.02166666666667,Fiji,192.66666666666666,0.0,American Samoa,1,-25.833333333333314,58.02166666666667
Andorra,FIFA World Cup qualification,False,94.66666666666667,166.66833333333332,Armenia,132.83333333333334,204.26500000000001,Andorra,1,-38.16666666666667,-37.59666666666669
Andorra,FIFA World Cup qualification,False,85.83333333333333,160.80666666666664,Belarus,132.83333333333334,204.26500000000001,Andorra,1,-47.000000000000014,-43.45833333333337
Andorra,FIFA World Cup qualification,False,45.5,306.84833333333336,Czech Republic,132.83333333333334,204.26500000000001,Andorra,1,-87.33333333333334,102.58333333333334
Andorra,FIFA World Cup qualification,False,90.33333333333333,218.51500000000001,Estonia,132.83333333333334,204.26500000000001,Andorra,1,-42.500000000000014,14.25
Andorra,FIFA World Cup qualification,False,94.5,127.30499999999999,Faroe Islands,132.83333333333334,204.26500000000001,Andorra,1,-38.33333333333334,-76.96000000000002
Andorra,FIFA World Cup qualification,False,65.0,346.72499999999997,Finland,132.83333333333334,204.26500000000001,Andorra,1,-67.83333333333334,142.45999999999995
Andorra,FIFA World Cup qualification,False,19.666666666666668,527.0783333333334,Netherlands,132.83333333333334,204.26500000000001,Andorra,1,-113.16666666666667,322.8133333333334
Andorra,FIFA World Cup qualification,False,19.666666666666668,527.0783333333334,Netherlands,132.83333333333334,204.26500000000001,Andorra,1,-113.16666666666667,322.8133333333334
Andorra,FIFA World Cup qualification,False,3.5,708.9733333333334,Portugal,132.83333333333334,204.26500000000001,Andorra,1,-129.33333333333334,504.70833333333337
Andorra,FIFA World Cup qualification,False,3.5,708.9733333333334,Portugal,132.83333333333334,204.26500000000001,Andorra,1,-129.33333333333334,504.70833333333337
Andorra,FIFA World Cup qualification,False,7.0,613.3216666666666,Switzerland,132.83333333333334,204.26500000000001,Andorra,1,-125.83333333333334,409.0566666666666
Andorra,FIFA World Cup qualification,False,38.166666666666664,290.03666666666663,Turkey,132.83333333333334,204.26500000000001,Andorra,1,-94.66666666666669,85.77166666666662
Andorra,FIFA World Cup qualification,False,33.333333333333336,405.47333333333336,Ukraine,132.83333333333334,204.26500000000001,Andorra,1,-99.5,201.20833333333334
Angola,FIFA World Cup qualification,False,84.16666666666667,165.73666666666665,Benin,139.5,115.98,Angola,1,-55.33333333333333,49.756666666666646
Angola,FIFA World Cup qualification,False,49.5,256.27833333333336,Cameroon,139.5,115.98,Angola,1,-90.0,140.29833333333335
Angola,FIFA World Cup qualification,False,91.66666666666667,173.07000000000002,Gabon,139.5,115.98,Angola,1,-47.83333333333333,57.09000000000002
Angola,FIFA World Cup qualification,False,110.0,143.18666666666664,Zimbabwe,139.5,115.98,Angola,1,-29.5,27.206666666666635
Angola,FIFA World Cup qualification,False,110.0,143.18666666666664,Zimbabwe,139.5,115.98,Angola,1,-29.5,27.206666666666635
Anguilla,FIFA World Cup qualification,False,155.5,36.465,Dominican Republic,206.33333333333334,0.0,Anguilla,1,-50.83333333333334,36.465
Anguilla,FIFA World Cup qualification,False,155.5,36.465,Dominican Republic,206.33333333333334,0.0,Anguilla,1,-50.83333333333334,36.465
Anguilla,FIFA World Cup qualification,False,84.66666666666667,250.72500000000002,El Salvador,206.33333333333334,0.0,Anguilla,1,-121.66666666666667,250.72500000000002
Antigua and Barbuda,FIFA World Cup qualification,False,181.0,29.75,Bermuda,132.0,25.584999999999997,Antigua and Barbuda,1,49.0,4.165000000000003
Antigua and Barbuda,FIFA World Cup qualification,False,181.5,7.14,Cuba,132.0,25.584999999999997,Antigua and Barbuda,1,49.5,-18.444999999999997
Antigua and Barbuda,FIFA World Cup qualification,True,78.66666666666667,177.43499999999997,Curaçao,132.0,25.584999999999997,Antigua and Barbuda,1,-53.33333333333333,151.84999999999997
Antigua and Barbuda,FIFA World Cup qualification,True,78.66666666666667,177.43499999999997,Curaçao,132.0,25.584999999999997,Antigua and Barbuda,1,-53.33333333333333,151.84999999999997
Antigua and Barbuda,FIFA World Cup qualification,False,134.66666666666666,0.0,Guatemala,132.0,25.584999999999997,Antigua and Barbuda,1,2.666666666666657,-25.584999999999997
Antigua and Barbuda,FIFA World Cup qualification,False,96.33333333333333,79.475,Haiti,132.0,25.584999999999997,Antigua and Barbuda,1,-35.66666666666667,53.89
Antigua and Barbuda,FIFA World Cup qualification,False,24.5,488.3666666666666,USA,132.0,25.584999999999997,Antigua and Barbuda,1,-107.5,462.78166666666664
Argentina,FIFA World Cup qualification,False,52.666666666666664,406.9783333333333,Bolivia,4.5,462.20166666666665,Argentina,1,48.166666666666664,-55.22333333333336
Argentina,FIFA World Cup qualification,False,52.666666666666664,406.9783333333333,Bolivia,4.5,462.20166666666665,Argentina,1,48.166666666666664,-55.22333333333336
Argentina,FIFA World Cup qualification,False,52.666666666666664,406.9783333333333,Bolivia,4.5,462.20166666666665,Argentina,1,48.166666666666664,-55.22333333333336
Argentina,FIFA World Cup qualification,False,2.0,638.3583333333332,Brazil,4.5,462.20166666666665,Argentina,1,-2.5,176.15666666666658
Argentina,FIFA World Cup qualification,False,64.5,58.74999999999999,Ecuador,4.5,462.20166666666665,Argentina,1,60.0,-403.45166666666665
Argentina,FIFA World Cup,False,14.333333333333334,479.66833333333335,England,4.5,462.20166666666665,Argentina,1,9.833333333333334,17.466666666666697
Argentina,FIFA World Cup,True,1.0,822.7366666666667,Germany,4.5,462.20166666666665,Argentina,1,-3.5,360.535
Argentina,FIFA World Cup,True,16.833333333333332,440.00500000000005,Italy,4.5,462.20166666666665,Argentina,1,12.333333333333332,-22.1966666666666
Argentina,FIFA World Cup,True,19.666666666666668,527.0783333333334,Netherlands,4.5,462.20166666666665,Argentina,1,15.166666666666668,64.87666666666672
Argentina,FIFA World Cup,True,19.666666666666668,527.0783333333334,Netherlands,4.5,462.20166666666665,Argentina,1,15.166666666666668,64.87666666666672
Argentina,FIFA World Cup qualification,False,31.166666666666668,421.83,Paraguay,4.5,462.20166666666665,Argentina,1,26.666666666666668,-40.37166666666667
Argentina,FIFA World Cup qualification,False,11.0,616.1850000000001,Peru,4.5,462.20166666666665,Argentina,1,6.5,153.9833333333334
Argentina,FIFA World Cup qualification,False,11.0,616.1850000000001,Peru,4.5,462.20166666666665,Argentina,1,6.5,153.9833333333334
Argentina,FIFA World Cup,True,34.333333333333336,384.19,Romania,4.5,462.20166666666665,Argentina,1,29.833333333333336,-78.01166666666666
Argentina,FIFA World Cup,False,19.0,395.4550000000001,Uruguay,4.5,462.20166666666665,Argentina,1,14.5,-66.74666666666656
Armenia,FIFA World Cup qualification,False,45.5,306.84833333333336,Czech Republic,94.66666666666667,166.66833333333332,Armenia,1,-49.16666666666667,140.18000000000004
Armenia,FIFA World Cup qualification,False,12.0,754.7800000000001,Denmark,94.66666666666667,166.66833333333332,Armenia,1,-82.66666666666667,588.1116666666668
Armenia,FIFA World Cup qualification,False,65.0,346.72499999999997,Finland,94.66666666666667,166.66833333333332,Armenia,1,-29.66666666666667,180.05666666666664
Armenia,FIFA World Cup qualification,False,19.666666666666668,527.0783333333334,Netherlands,94.66666666666667,166.66833333333332,Armenia,1,-75.0,360.4100000000001
Armenia,FIFA World Cup qualification,False,8.0,569.9300000000001,Poland,94.66666666666667,166.66833333333332,Armenia,1,-86.66666666666667,403.26166666666677
Armenia,FIFA World Cup qualification,False,34.333333333333336,384.19,Romania,94.66666666666667,166.66833333333332,Armenia,1,-60.333333333333336,217.52166666666668
Armenia,FIFA World Cup qualification,False,33.333333333333336,405.47333333333336,Ukraine,94.66666666666667,166.66833333333332,Armenia,1,-61.333333333333336,238.80500000000004
Aruba,FIFA World Cup qualification,False,132.0,25.584999999999997,Antigua and Barbuda,182.0,0.0,Aruba,1,-50.0,25.584999999999997
Aruba,FIFA World Cup qualification,False,155.5,36.465,Dominican Republic,182.0,0.0,Aruba,1,-26.5,36.465
Aruba,FIFA World Cup qualification,False,156.33333333333334,0.0,Suriname,182.0,0.0,Aruba,1,-25.666666666666657,0.0
Australia,FIFA World Cup qualification,False,85.5,230.70333333333338,Canada,37.5,394.7683333333334,Australia,1,48.0,-164.065
Australia,FIFA World Cup qualification,False,166.83333333333334,58.02166666666667,Fiji,37.5,394.7683333333334,Australia,1,129.33333333333334,-336.7466666666667
Australia,FIFA World Cup qualification,False,162.0,62.38999999999999,Indonesia,37.5,394.7683333333334,Australia,1,124.5,-332.3783333333334
