,home_rank,home_weighted_points,away_rank,away_weighted_points,rank_diff,point_diff,tournament,neutral,home_team,away_team
Afghanistan,57.833333333333336,220.96666666666667,145.16666666666666,104.065,-87.33333333333331,116.90166666666667,1,0,64,0
Afghanistan,171.66666666666666,31.26,145.16666666666666,104.065,26.5,-72.80499999999999,1,0,118,0
Afghanistan,75.0,232.32833333333335,145.16666666666666,104.065,-70.16666666666666,128.26333333333335,1,1,129,0
Albania,16.833333333333332,440.00500000000005,57.833333333333336,243.60333333333332,-41.0,196.40166666666673,1,0,62,1
Albania,7.333333333333333,608.915,57.833333333333336,243.60333333333332,-50.5,365.3116666666666,1,0,124,1
Algeria,49.5,256.27833333333336,61.5,212.29999999999998,-12.0,43.97833333333338,1,0,22,2
Algeria,49.5,280.28333333333336,61.5,212.29999999999998,-12.0,67.98333333333338,1,0,96,2
Algeria,76.16666666666667,240.4316666666667,61.5,212.29999999999998,14.666666666666671,28.131666666666717,1,0,148,2
Andorra,94.5,127.30499999999999,132.83333333333334,204.26500000000001,-38.33333333333334,-76.96000000000002,1,0,43,3
Andorra,50.5,193.13,132.83333333333334,204.26500000000001,-82.33333333333334,-11.13500000000002,1,0,57,3
Andorra,133.5,78.05166666666666,132.83333333333334,204.26500000000001,0.6666666666666572,-126.21333333333335,1,0,72,3
Andorra,3.5,708.9733333333334,132.83333333333334,204.26500000000001,-129.33333333333334,504.70833333333337,1,0,107,3
Andorra,7.0,613.3216666666666,132.83333333333334,204.26500000000001,-125.83333333333334,409.0566666666666,1,0,128,3
Angola,74.83333333333333,190.57333333333335,139.5,115.98,-64.66666666666667,74.59333333333335,1,0,123,4
Argentina,52.666666666666664,406.9783333333333,4.5,462.20166666666665,48.166666666666664,-55.22333333333336,1,0,15,5
Argentina,2.0,638.3583333333332,4.5,462.20166666666665,-2.5,176.15666666666658,1,0,17,5
Armenia,12.0,754.7800000000001,94.66666666666667,166.66833333333332,-82.66666666666667,588.1116666666668,1,0,33,6
Armenia,44.166666666666664,395.24,94.66666666666667,166.66833333333332,-50.50000000000001,228.5716666666667,1,0,88,6
Armenia,8.0,569.9300000000001,94.66666666666667,166.66833333333332,-86.66666666666667,403.26166666666677,1,0,106,6
Armenia,34.333333333333336,384.19,94.66666666666667,166.66833333333332,-60.333333333333336,217.52166666666668,1,0,109,6
Australia,8.0,521.5266666666665,37.5,394.7683333333334,-29.5,126.75833333333316,0,1,46,7
Australia,57.833333333333336,220.96666666666667,37.5,394.7683333333334,20.333333333333336,-173.8016666666667,1,0,64,7
Australia,115.16666666666667,140.725,37.5,394.7683333333334,77.66666666666667,-254.04333333333338,1,0,65,7
Austria,34.833333333333336,445.91499999999996,27.333333333333332,430.10999999999996,7.5000000000000036,15.805000000000007,1,0,115,8
Austria,19.833333333333332,376.8283333333333,27.333333333333332,430.10999999999996,-7.5,-53.28166666666664,1,0,146,8
Azerbaijan,1.0,822.7366666666667,120.16666666666667,81.07333333333334,-119.16666666666667,741.6633333333333,1,0,49,9
Azerbaijan,26.333333333333332,421.1116666666667,120.16666666666667,81.07333333333334,-93.83333333333334,340.03833333333336,1,0,97,9
Azerbaijan,53.5,378.68666666666667,120.16666666666667,81.07333333333334,-66.66666666666667,297.61333333333334,1,0,98,9
Bahrain,114.66666666666667,124.46,119.66666666666667,150.8516666666667,-5.0,-26.391666666666694,1,0,67,10
Bahrain,82.0,129.1316666666667,119.66666666666667,150.8516666666667,-37.66666666666667,-21.72,1,0,143,10
Bangladesh,115.16666666666667,140.725,196.5,0.0,-81.33333333333333,140.725,1,0,65,11
Bangladesh,122.0,156.32999999999998,196.5,0.0,-74.5,156.32999999999998,1,0,131,11
Belarus,46.333333333333336,370.25999999999993,85.83333333333333,160.80666666666664,-39.49999999999999,209.4533333333333,1,0,18,12
Belarus,8.0,521.5266666666665,85.83333333333333,160.80666666666664,-77.83333333333333,360.7199999999999,1,0,46,12
Belarus,83.5,299.77,85.83333333333333,160.80666666666664,-2.3333333333333286,138.96333333333334,1,0,77,12
Belarus,19.666666666666668,527.0783333333334,85.83333333333333,160.80666666666664,-66.16666666666666,366.27166666666676,1,0,92,12
Belarus,21.0,578.8333333333334,85.83333333333333,160.80666666666664,-64.83333333333333,418.02666666666676,1,0,127,12
Benin,52.666666666666664,252.12166666666664,84.16666666666667,165.73666666666665,-31.500000000000007,86.38499999999999,1,0,19,14
Bhutan,149.16666666666666,74.63,185.83333333333334,0.0,-36.666666666666686,74.63,1,0,81,15
Bolivia,4.5,462.20166666666665,52.666666666666664,406.9783333333333,-48.166666666666664,55.22333333333336,1,0,5,16
Bolivia,2.0,638.3583333333332,52.666666666666664,406.9783333333333,-50.666666666666664,231.37999999999994,1,0,17,16
Bolivia,9.5,442.0466666666666,52.666666666666664,406.9783333333333,-43.166666666666664,35.06833333333333,1,0,25,16
Bolivia,14.5,367.13333333333327,52.666666666666664,406.9783333333333,-38.166666666666664,-39.84500000000003,1,0,26,16
Bolivia,64.5,58.74999999999999,52.666666666666664,406.9783333333333,11.833333333333336,-348.2283333333333,1,0,35,16
Bolivia,31.166666666666668,421.83,52.666666666666664,406.9783333333333,-21.499999999999996,14.851666666666688,1,0,103,16
Bolivia,11.0,616.1850000000001,52.666666666666664,406.9783333333333,-41.666666666666664,209.20666666666676,1,0,104,16
Bolivia,19.0,395.4550000000001,52.666666666666664,406.9783333333333,-33.666666666666664,-11.523333333333198,1,0,142,16
Bolivia,43.166666666666664,410.935,52.666666666666664,406.9783333333333,-9.5,3.956666666666706,1,0,144,16
Botswana,67.5,198.16833333333332,146.0,43.41166666666667,-78.5,154.75666666666666,1,0,82,17
Brazil,9.5,442.0466666666666,2.0,638.3583333333332,7.5,-196.3116666666666,1,0,25,18
Bulgaria,85.83333333333333,160.80666666666664,46.333333333333336,370.25999999999993,39.49999999999999,-209.4533333333333,1,0,11,19
Bulgaria,8.0,521.5266666666665,46.333333333333336,370.25999999999993,-38.333333333333336,151.2666666666666,1,0,46,19
Bulgaria,19.666666666666668,527.0783333333334,46.333333333333336,370.25999999999993,-26.666666666666668,156.81833333333344,1,0,92,19
Bulgaria,21.0,578.8333333333334,46.333333333333336,370.25999999999993,-25.333333333333336,208.57333333333344,1,0,127,19
Burkina Faso,84.16666666666667,165.73666666666665,52.666666666666664,252.12166666666664,31.500000000000007,-86.38499999999999,1,0,13,20
Burkina Faso,74.83333333333333,190.57333333333335,52.666666666666664,252.12166666666664,22.166666666666664,-61.54833333333329,1,0,123,20
Burundi,39.166666666666664,340.10166666666663,144.5,82.33833333333332,-105.33333333333334,257.7633333333333,1,0,28,21
Cambodia,145.16666666666666,104.065,169.83333333333334,42.69,-24.666666666666686,61.375,1,1,0,22
Cambodia,171.66666666666666,31.26,169.83333333333334,42.69,1.8333333333333144,-11.429999999999996,1,0,118,22
Cambodia,75.0,232.32833333333335,169.83333333333334,42.69,-94.83333333333334,189.63833333333335,1,1,129,22
Cameroon,49.5,280.28333333333336,49.5,256.27833333333336,0.0,24.004999999999995,1,0,96,23
Canada,62.666666666666664,284.3066666666667,85.5,230.70333333333338,-22.833333333333336,53.603333333333296,1,0,56,24
Canada,16.0,494.0733333333333,85.5,230.70333333333338,-69.5,263.36999999999995,1,0,86,24
Central African Republic,109.5,155.11166666666668,117.0,130.98499999999999,-7.5,24.126666666666694,1,0,78,25
Chad,42.333333333333336,273.91833333333335,168.66666666666666,0.0,-126.33333333333331,273.91833333333335,1,0,36,26
Chad,101.5,190.05999999999997,168.66666666666666,0.0,-67.16666666666666,190.05999999999997,1,1,117,26
Chile,4.5,462.20166666666665,9.5,442.0466666666666,-5.0,20.15500000000003,1,0,5,27
Chile,52.666666666666664,406.9783333333333,9.5,442.0466666666666,43.166666666666664,-35.06833333333333,1,0,15,27
Chile,2.0,638.3583333333332,9.5,442.0466666666666,-7.5,196.3116666666666,1,0,17,27
Chile,64.5,58.74999999999999,9.5,442.0466666666666,55.0,-383.2966666666666,1,0,35,27
Chile,31.166666666666668,421.83,9.5,442.0466666666666,21.666666666666668,-20.21666666666664,1,0,103,27
Chile,19.0,395.4550000000001,9.5,442.0466666666666,9.5,-46.59166666666653,1,0,142,27
Colombia,4.5,462.20166666666665,14.5,367.13333333333327,-10.0,95.06833333333338,1,0,5,28
Colombia,2.0,638.3583333333332,14.5,367.13333333333327,-12.5,271.22499999999997,1,0,17,28
Colombia,19.0,395.4550000000001,14.5,367.13333333333327,4.5,28.32166666666683,1,0,142,28
Comoros,51.0,263.55833333333334,137.33333333333334,105.33166666666666,-86.33333333333334,158.2266666666667,1,0,50,29
Congo,42.333333333333336,273.91833333333335,89.0,148.03833333333336,-46.666666666666664,125.88,1,0,36,30
Congo,76.5,189.62166666666667,89.0,148.03833333333336,-12.5,41.583333333333314,1,0,139,30
Congo DR,19.666666666666668,580.4266666666666,39.166666666666664,340.10166666666663,-19.499999999999996,240.325,1,0,135,31
Costa Rica,2.0,638.3583333333332,25.166666666666668,395.195,-23.166666666666668,243.16333333333324,0,1,17,32
Costa Rica,16.0,494.0733333333333,25.166666666666668,395.195,-9.166666666666668,98.87833333333333,1,0,86,32
Costa Rica,54.0,306.59333333333336,25.166666666666668,395.195,28.833333333333332,-88.60166666666663,1,0,101,32
Croatia,20.333333333333332,519.1433333333333,16.833333333333332,477.5566666666667,3.5,41.586666666666645,1,0,58,33
Croatia,38.166666666666664,290.03666666666663,16.833333333333332,477.5566666666667,21.333333333333332,-187.52000000000004,1,0,136,33
Cyprus,4.0,646.1566666666666,89.16666666666667,206.66,-85.16666666666667,439.49666666666667,1,0,12,34
Cyprus,90.33333333333333,218.51500000000001,89.16666666666667,206.66,1.1666666666666572,11.855000000000018,1,0,41,34
Cyprus,44.833333333333336,339.45666666666665,89.16666666666667,206.66,-44.333333333333336,132.79666666666665,1,0,52,34
Czech Republic,1.0,822.7366666666667,45.5,306.84833333333336,-44.5,515.8883333333333,1,0,49,35
Czech Republic,26.333333333333332,421.1116666666667,45.5,306.84833333333336,-19.166666666666668,114.26333333333332,1,0,97,35
Denmark,8.0,569.9300000000001,12.0,754.7800000000001,-4.0,-184.85000000000002,1,0,106,36
Djibouti,132.0,42.01499999999999,192.33333333333334,31.875,-60.33333333333334,10.139999999999993,1,0,126,37
Ecuador,2.0,638.3583333333332,64.5,58.74999999999999,-62.5,579.6083333333332,1,0,17,38
Ecuador,9.5,442.0466666666666,64.5,58.74999999999999,-55.0,383.2966666666666,1,0,25,38
Ecuador,14.5,367.13333333333327,64.5,58.74999999999999,-50.0,308.38333333333327,1,0,26,38
Ecuador,31.166666666666668,421.83,64.5,58.74999999999999,-33.33333333333333,363.08,1,0,103,38
Ecuador,11.0,616.1850000000001,64.5,58.74999999999999,-53.5,557.4350000000001,1,0,104,38
Ecuador,19.0,395.4550000000001,64.5,58.74999999999999,-45.5,336.7050000000001,1,0,142,38
Egypt,168.66666666666666,0.0,42.333333333333336,273.91833333333335,126.33333333333331,-273.91833333333335,1,0,24,39
Egypt,64.66666666666667,212.42,42.333333333333336,273.91833333333335,22.333333333333336,-61.49833333333336,0,0,110,39
Egypt,76.5,189.62166666666667,42.333333333333336,273.91833333333335,34.166666666666664,-84.29666666666668,1,0,139,39
El Salvador,85.5,230.70333333333338,84.66666666666667,250.72500000000002,0.8333333333333286,-20.021666666666647,1,0,23,40
El Salvador,62.666666666666664,284.3066666666667,84.66666666666667,250.72500000000002,-22.000000000000007,33.58166666666665,1,0,56,40
Equatorial Guinea,41.333333333333336,380.00333333333333,141.5,24.791666666666668,-100.16666666666666,355.21166666666664,1,0,89,42
Eritrea,146.0,43.41166666666667,206.33333333333334,0.0,-60.33333333333334,43.41166666666667,1,0,16,43
Estonia,4.0,646.1566666666666,90.33333333333333,218.51500000000001,-86.33333333333333,427.64166666666665,1,0,12,44
Ethiopia,89.0,148.03833333333336,141.83333333333334,55.501666666666665,-52.83333333333334,92.53666666666669,1,0,27,45
Faroe Islands,50.5,193.13,94.5,127.30499999999999,-44.0,65.825,1,0,57,46
Faroe Islands,3.5,708.9733333333334,94.5,127.30499999999999,-91.0,581.6683333333334,1,0,107,46
Faroe Islands,7.0,613.3216666666666,94.5,127.30499999999999,-87.5,486.0166666666666,1,0,128,46
Fiji,155.16666666666666,83.23,166.83333333333334,58.02166666666667,-11.666666666666686,25.208333333333336,1,0,93,47
Fiji,124.5,101.87,166.83333333333334,58.02166666666667,-42.33333333333334,43.848333333333336,1,0,94,47
Finland,20.333333333333332,519.1433333333333,65.0,346.72499999999997,-44.66666666666667,172.41833333333335,1,0,58,48
Finland,38.166666666666664,290.03666666666663,65.0,346.72499999999997,-26.833333333333336,-56.68833333333333,1,0,136,48
Finland,33.333333333333336,405.47333333333336,65.0,346.72499999999997,-31.666666666666664,58.74833333333339,1,0,140,48
France,21.0,578.8333333333334,8.0,521.5266666666665,13.0,57.30666666666684,1,0,127,49
Gabon,41.333333333333336,380.00333333333333,91.66666666666667,173.07000000000002,-50.333333333333336,206.9333333333333,1,0,89,50
Gabon,107.66666666666667,136.225,91.66666666666667,173.07000000000002,16.0,-36.84500000000003,1,0,90,50
Gambia,110.16666666666667,126.67333333333335,168.66666666666666,54.145,-58.499999999999986,72.52833333333334,1,0,91,51
Georgia,34.833333333333336,445.91499999999996,98.66666666666667,203.5683333333333,-63.833333333333336,242.34666666666666,1,0,115,52
Ghana,42.333333333333336,273.91833333333335,51.0,263.55833333333334,-8.666666666666664,10.360000000000014,1,0,36,54
Gibraltar,4.0,646.1566666666666,200.83333333333334,17.08,-196.83333333333334,629.0766666666666,1,0,12,55
Gibraltar,89.16666666666667,206.66,200.83333333333334,17.08,-111.66666666666667,189.57999999999998,1,0,31,55
Gibraltar,90.33333333333333,218.51500000000001,200.83333333333334,17.08,-110.50000000000001,201.435,1,0,41,55
Gibraltar,44.833333333333336,339.45666666666665,200.83333333333334,17.08,-156.0,322.37666666666667,1,0,52,55
Greece,16.833333333333332,477.5566666666667,44.833333333333336,339.45666666666665,-28.000000000000004,138.10000000000002,1,0,30,56
Guam,99.0,202.94500000000002,190.5,0.0,-91.5,202.94500000000002,1,0,59,57
Guam,93.83333333333333,228.235,190.5,0.0,-96.66666666666667,228.235,1,0,99,57
Guam,121.33333333333333,157.96,190.5,0.0,-69.16666666666667,157.96,1,0,137,57
Guatemala,24.5,488.3666666666666,134.66666666666666,0.0,-110.16666666666666,488.3666666666666,1,0,138,58
Guinea,39.166666666666664,340.10166666666663,68.83333333333333,229.67499999999998,-29.666666666666664,110.42666666666665,1,0,28,59
Guinea,98.0,175.64666666666665,68.83333333333333,229.67499999999998,29.16666666666667,-54.028333333333336,1,1,74,59
Guinea,19.666666666666668,580.4266666666666,68.83333333333333,229.67499999999998,-49.16666666666666,350.75166666666667,1,0,135,59
Haiti,25.166666666666668,395.195,96.33333333333333,79.475,-71.16666666666666,315.72,1,0,29,60
